
[LoadTester] [2026-06-26 23:48:34 / ERROR /         1] BadValue(HP/Coord) | uid=1174 idx=1173 | CREATE_MY x=365480 y=401410 hp=-8401
[LoadTester] [2026-06-26 23:48:53 / ERROR /         2] BadValue(HP/Coord) | uid=1395 idx=1394 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:48:53 / ERROR /         3] BadValue(HP/Coord) | uid=1514 idx=1513 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:48:53 / ERROR /         4] BadValue(HP/Coord) | uid=1436 idx=1435 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:48:53 / ERROR /         5] BadValue(HP/Coord) | uid=1438 idx=1437 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:48:53 / ERROR /         6] BadValue(HP/Coord) | uid=1437 idx=1436 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:48:53 / ERROR /         7] BadValue(HP/Coord) | uid=1475 idx=1474 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:48:54 / ERROR /         8] BadValue(HP/Coord) | uid=1393 idx=1392 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:48:54 / ERROR /         9] BadValue(HP/Coord) | uid=1393 idx=1392 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:48:54 / ERROR /        10] BadValue(HP/Coord) | uid=1395 idx=1394 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:48:54 / ERROR /        11] BadValue(HP/Coord) | uid=1586 idx=1585 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:48:54 / ERROR /        12] BadValue(HP/Coord) | uid=1586 idx=1585 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:48:54 / ERROR /        13] BadValue(HP/Coord) | uid=1512 idx=1511 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:48:54 / ERROR /        14] BadValue(HP/Coord) | uid=1395 idx=1394 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:48:54 / ERROR /        15] BadValue(HP/Coord) | uid=1476 idx=1475 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:48:54 / ERROR /        16] BadValue(HP/Coord) | uid=1475 idx=1474 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:48:55 / ERROR /        17] BadValue(HP/Coord) | uid=1473 idx=1472 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:48:55 / ERROR /        18] BadValue(HP/Coord) | uid=1549 idx=1548 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:48:55 / ERROR /        19] BadValue(HP/Coord) | uid=1395 idx=1394 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:48:56 / ERROR /        20] BadValue(HP/Coord) | uid=1395 idx=1394 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:48:57 / ERROR /        21] BadValue(HP/Coord) | uid=1510 idx=1509 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:01 / ERROR /        22] BadValue(HP/Coord) | uid=1511 idx=1510 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:02 / ERROR /        23] BadValue(HP/Coord) | uid=1473 idx=1472 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:03 / ERROR /        24] BadValue(HP/Coord) | uid=1473 idx=1472 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:03 / ERROR /        25] BadValue(HP/Coord) | uid=1942 idx=1941 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:04 / ERROR /        26] BadValue(HP/Coord) | uid=1511 idx=1510 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:05 / ERROR /        27] BadValue(HP/Coord) | uid=1549 idx=1548 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:06 / ERROR /        28] BadValue(HP/Coord) | uid=1514 idx=1513 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:06 / ERROR /        29] BadValue(HP/Coord) | uid=1514 idx=1513 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:06 / ERROR /        30] BadValue(HP/Coord) | uid=1586 idx=1585 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:07 / ERROR /        31] BadValue(HP/Coord) | uid=1586 idx=1585 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:08 / ERROR /        32] BadValue(HP/Coord) | uid=1586 idx=1585 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:08 / ERROR /        33] BadValue(HP/Coord) | uid=1473 idx=1472 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:08 / ERROR /        34] BadValue(HP/Coord) | uid=1351 idx=1350 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:08 / ERROR /        35] BadValue(HP/Coord) | uid=1351 idx=1350 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:09 / ERROR /        36] BadValue(HP/Coord) | uid=2041 idx=2040 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:11 / ERROR /        37] BadValue(HP/Coord) | uid=1939 idx=1938 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:11 / ERROR /        38] BadValue(HP/Coord) | uid=1891 idx=1890 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:12 / ERROR /        39] BadValue(HP/Coord) | uid=1940 idx=1939 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:12 / ERROR /        40] BadValue(HP/Coord) | uid=2041 idx=2040 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:13 / ERROR /        41] BadValue(HP/Coord) | uid=1939 idx=1938 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:13 / ERROR /        42] BadValue(HP/Coord) | uid=1939 idx=1938 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:14 / ERROR /        43] BadValue(HP/Coord) | uid=2043 idx=2042 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:15 / ERROR /        44] BadValue(HP/Coord) | uid=2041 idx=2040 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:15 / ERROR /        45] BadValue(HP/Coord) | uid=2041 idx=2040 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:16 / ERROR /        46] BadValue(HP/Coord) | uid=2041 idx=2040 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:17 / ERROR /        47] BadValue(HP/Coord) | uid=1587 idx=1586 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:17 / ERROR /        48] BadValue(HP/Coord) | uid=1587 idx=1586 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:18 / ERROR /        49] BadValue(HP/Coord) | uid=1474 idx=1473 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:18 / ERROR /        50] BadValue(HP/Coord) | uid=1512 idx=1511 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:18 / ERROR /        51] BadValue(HP/Coord) | uid=1514 idx=1513 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:18 / ERROR /        52] BadValue(HP/Coord) | uid=1475 idx=1474 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:19 / ERROR /        53] BadValue(HP/Coord) | uid=1393 idx=1392 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:19 / ERROR /        54] BadValue(HP/Coord) | uid=2041 idx=2040 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:21 / ERROR /        55] BadValue(HP/Coord) | uid=2187 idx=2186 | CREATE_MONSTER id=2277 hp=29648/160
[LoadTester] [2026-06-26 23:49:21 / ERROR /        56] BadValue(HP/Coord) | uid=2187 idx=2186 | CREATE_MONSTER id=2277 hp=29648/160
[LoadTester] [2026-06-26 23:49:21 / ERROR /        57] BadValue(HP/Coord) | uid=1476 idx=1475 | CREATE_MONSTER id=1475 hp=3884/160
[LoadTester] [2026-06-26 23:49:22 / ERROR /        58] BadValue(HP/Coord) | uid=2043 idx=2042 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:22 / ERROR /        59] BadValue(HP/Coord) | uid=2043 idx=2042 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:23 / ERROR /        60] BadValue(HP/Coord) | uid=1393 idx=1392 | CREATE_MONSTER id=1475 hp=3845/160
[LoadTester] [2026-06-26 23:49:23 / ERROR /        61] BadValue(HP/Coord) | uid=1393 idx=1392 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:24 / ERROR /        62] BadValue(HP/Coord) | uid=2043 idx=2042 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:24 / ERROR /        63] BadValue(HP/Coord) | uid=2412 idx=2411 | CREATE_MONSTER id=2277 hp=29629/160
[LoadTester] [2026-06-26 23:49:24 / ERROR /        64] BadValue(HP/Coord) | uid=1806 idx=1805 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:25 / ERROR /        65] BadValue(HP/Coord) | uid=2039 idx=2038 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:25 / ERROR /        66] BadValue(HP/Coord) | uid=2039 idx=2038 | CREATE_MONSTER id=1940 hp=13199/160
[LoadTester] [2026-06-26 23:49:25 / ERROR /        67] BadValue(HP/Coord) | uid=1587 idx=1586 | CREATE_MONSTER id=1475 hp=3845/160
[LoadTester] [2026-06-26 23:49:25 / ERROR /        68] BadValue(HP/Coord) | uid=1587 idx=1586 | CREATE_MONSTER id=1473 hp=3903/160
[LoadTester] [2026-06-26 23:49:26 / ERROR /        69] BadValue(HP/Coord) | uid=2325 idx=2324 | CREATE_MONSTER id=2277 hp=29590/160
[LoadTester] [2026-06-26 23:49:26 / ERROR /        70] BadValue(HP/Coord) | uid=1991 idx=1990 | CREATE_MONSTER id=1940 hp=13199/160
