timestampNs,users,fRecv_Move_p50,fRecv_Move_p95,fRecv_Move_p99,fRecv_Move_cnt,fRecv_RTT_p50,fRecv_RTT_p95,fRecv_RTT_p99,fRecv_RTT_cnt,fRecv_Swing_p50,fRecv_Swing_p95,fRecv_Swing_p99,fRecv_Swing_cnt,fRecv_Skill_p50,fRecv_Skill_p95,fRecv_Skill_p99,fRecv_Skill_cnt,fRecv_Pickup_p50,fRecv_Pickup_p95,fRecv_Pickup_p99,fRecv_Pickup_cnt,fRecv_UseItem_p50,fRecv_UseItem_p95,fRecv_UseItem_p99,fRecv_UseItem_cnt,fRecv_DelItem_p50,fRecv_DelItem_p95,fRecv_DelItem_p99,fRecv_DelItem_cnt,fRecv_Swap_p50,fRecv_Swap_p95,fRecv_Swap_p99,fRecv_Swap_cnt,fRecv_Respawn_p50,fRecv_Respawn_p95,fRecv_Respawn_p99,fRecv_Respawn_cnt,fRecv_Lock_p50,fRecv_Lock_p95,fRecv_Lock_p99,fRecv_Lock_cnt,fUpd_Whole_p50,fUpd_Whole_p95,fUpd_Whole_p99,fUpd_Whole_cnt,fUpd_User_p50,fUpd_User_p95,fUpd_User_p99,fUpd_User_cnt,fUpd_Monster_p50,fUpd_Monster_p95,fUpd_Monster_p99,fUpd_Monster_cnt,fUpd_Drop_p50,fUpd_Drop_p95,fUpd_Drop_p99,fUpd_Drop_cnt,fUpd_Lock_p50,fUpd_Lock_p95,fUpd_Lock_p99,fUpd_Lock_cnt,bc_CreateChar_p50,bc_CreateChar_p95,bc_CreateChar_p99,bc_CreateChar_cnt,bc_DelChar_p50,bc_DelChar_p95,bc_DelChar_p99,bc_DelChar_cnt,bc_MoveInput_p50,bc_MoveInput_p95,bc_MoveInput_p99,bc_MoveInput_cnt,bc_Swing_p50,bc_Swing_p95,bc_Swing_p99,bc_Swing_cnt,bc_HitResult_p50,bc_HitResult_p95,bc_HitResult_p99,bc_HitResult_cnt,bc_Skill_p50,bc_Skill_p95,bc_Skill_p99,bc_Skill_cnt,bc_CreateMon_p50,bc_CreateMon_p95,bc_CreateMon_p99,bc_CreateMon_cnt,bc_DelMon_p50,bc_DelMon_p95,bc_DelMon_p99,bc_DelMon_cnt,bc_MoveMon_p50,bc_MoveMon_p95,bc_MoveMon_p99,bc_MoveMon_cnt,bc_StopMon_p50,bc_StopMon_p95,bc_StopMon_p99,bc_StopMon_cnt,bc_MonHitPlayer_p50,bc_MonHitPlayer_p95,bc_MonHitPlayer_p99,bc_MonHitPlayer_cnt,bc_CreateDrop_p50,bc_CreateDrop_p95,bc_CreateDrop_p99,bc_CreateDrop_cnt,bc_DelDrop_p50,bc_DelDrop_p95,bc_DelDrop_p99,bc_DelDrop_cnt,bc_Respawn_p50,bc_Respawn_p95,bc_Respawn_p99,bc_Respawn_cnt,aRecv_Login_p50,aRecv_Login_p95,aRecv_Login_p99,aRecv_Login_cnt,aRecv_CharSelect_p50,aRecv_CharSelect_p95,aRecv_CharSelect_p99,aRecv_CharSelect_cnt,aRecv_Lock_p50,aRecv_Lock_p95,aRecv_Lock_p99,aRecv_Lock_cnt,aUpd_Lock_p50,aUpd_Lock_p95,aUpd_Lock_p99,aUpd_Lock_cnt,aUpd_Whole_p50,aUpd_Whole_p95,aUpd_Whole_p99,aUpd_Whole_cnt,cpuTotal,cpuUser,cpuKernel,db_CharSelect,db_InsertItem,db_DelItem,db_ItemCount,db_ItemSlot,db_CharProgress,db_LogOut,db_CharSelect_q_p50,db_CharSelect_q_p95,db_CharSelect_q_p99,db_CharSelect_q_p999,db_CharSelect_q_max,db_CharSelect_q_cnt,db_InsertItem_q_p50,db_InsertItem_q_p95,db_InsertItem_q_p99,db_InsertItem_q_p999,db_InsertItem_q_max,db_InsertItem_q_cnt,db_DelItem_q_p50,db_DelItem_q_p95,db_DelItem_q_p99,db_DelItem_q_p999,db_DelItem_q_max,db_DelItem_q_cnt,db_ItemCount_q_p50,db_ItemCount_q_p95,db_ItemCount_q_p99,db_ItemCount_q_p999,db_ItemCount_q_max,db_ItemCount_q_cnt,db_ItemSlot_q_p50,db_ItemSlot_q_p95,db_ItemSlot_q_p99,db_ItemSlot_q_p999,db_ItemSlot_q_max,db_ItemSlot_q_cnt,db_CharProgress_q_p50,db_CharProgress_q_p95,db_CharProgress_q_p99,db_CharProgress_q_p999,db_CharProgress_q_max,db_CharProgress_q_cnt,db_LogOut_q_p50,db_LogOut_q_p95,db_LogOut_q_p99,db_LogOut_q_p999,db_LogOut_q_max,db_LogOut_q_cnt,dbp_Block_p50,dbp_Block_p95,dbp_Block_p99,dbp_Block_p999,dbp_Block_max,dbp_Block_cnt,dbp_Dequeue_p50,dbp_Dequeue_p95,dbp_Dequeue_p99,dbp_Dequeue_p999,dbp_Dequeue_max,dbp_Dequeue_cnt,dbp_Execute_p50,dbp_Execute_p95,dbp_Execute_p99,dbp_Execute_p999,dbp_Execute_max,dbp_Execute_cnt,dbp_Enqueue_p50,dbp_Enqueue_p95,dbp_Enqueue_p99,dbp_Enqueue_p999,dbp_Enqueue_max,dbp_Enqueue_cnt,dbp_DeleteJob_p50,dbp_DeleteJob_p95,dbp_DeleteJob_p99,dbp_DeleteJob_p999,dbp_DeleteJob_max,dbp_DeleteJob_cnt,dbQueue,storeQueue,sendIOTPS,recvIOTPS,tcpSeg,tcpRetx,fieldFrame,authFrame,syncCount
47706004184500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,262144,262144,41,256,256,512,41,131072,262144,262144,41,64,256,256,41,256,256,131072,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,256,256,20,256,256,256,20,8.01,5.27,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,1,0,0,0,0,256,1,0,0,0,0,16777216,1,0,0,0,0,0,0,0,0,0,0,65536,1,0,0,0,0,0,0,41,20,0
47707042720500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,131072,262144,41,256,256,512,41,131072,131072,262144,41,64,256,256,41,128,256,256,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,256,256,21,256,256,256,21,8.48,7.97,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,21,0
47708076778300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,131072,262144,41,256,256,256,41,131072,131072,262144,41,64,64,128,41,128,256,256,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,256,256,156,64,128,256,156,0,64,64,6462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,256,256,20,128,256,256,20,8.44,8.31,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,20,0
47709114639200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262144,262144,262144,42,256,1024,8192,42,262144,262144,262144,42,64,128,256,42,128,256,256,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,256,256,555,64,128,256,555,0,64,64,5733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,256,256,21,128,256,256,21,8.28,8.28,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,21,0
47710149739000,100,2048,16384,32768,475,512,8192,16384,62,4096,16384,16384,66,0,0,0,0,0,0,0,0,4096,65536,65536,18,512,1024,8192,100,2048,8192,8192,11,0,0,0,0,64,65536,262144,760,262144,262144,524288,41,8192,32768,32768,41,262144,262144,262144,41,64,64,128,41,128,256,256,41,64,256,256,963,128,512,512,63,128,512,8192,4275,64,256,8192,594,0,0,0,0,64,256,512,252,64,256,512,795,64,128,256,795,0,128,256,7173,64,256,256,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,524288,524288,100,1024,65536,131072,100,64,262144,524288,200,128,128,128,21,128,262144,524288,21,8.56,7.55,1.01,100,0,0,18,0,0,0,262144,262144,524288,524288,1048576,100,0,0,0,0,0,0,0,0,0,0,0,0,524288,1048576,1048576,1048576,2097152,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2097152,67108864,134217728,134217728,4294967296,38,64,256,256,256,256,118,262144,1048576,1048576,1048576,2097152,118,64,256,256,256,256,100,256,512,512,512,65536,18,0,0,1658,959,3517,0,41,21,0
47711184079200,200,2048,16384,16384,1106,512,8192,8192,157,4096,16384,16384,141,0,0,0,0,0,0,0,0,2048,16384,65536,41,512,2048,8192,200,2048,8192,8192,27,0,0,0,0,64,65536,131072,1725,262144,524288,524288,42,32768,65536,65536,42,262144,262144,524288,42,64,64,128,42,128,128,256,42,64,256,256,1085,128,512,512,185,128,512,8192,9954,64,256,8192,1269,64,256,256,54,128,256,8192,477,128,256,512,1089,64,256,256,1089,64,128,256,7605,64,256,512,387,64,256,256,54,0,0,0,0,0,0,0,0,0,0,0,0,1024,2048,524288,100,1024,1024,1024,100,64,64,65536,200,128,128,128,21,64,262144,262144,21,10.07,8.56,1.51,100,0,0,41,0,0,0,262144,524288,524288,524288,524288,100,0,0,0,0,0,0,0,0,0,0,0,0,524288,1048576,1048576,1048576,1048576,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524288,16777216,67108864,67108864,134217728,61,64,256,256,256,256,141,262144,524288,1048576,1048576,1048576,141,64,128,256,256,512,100,256,256,512,512,512,41,0,0,4017,1914,5921,0,42,21,0
47712217845300,300,2048,16384,32768,1732,512,8192,16384,249,4096,16384,32768,183,0,0,0,0,0,0,0,0,4096,16384,16384,54,512,8192,16384,275,2048,8192,8192,28,0,0,0,0,64,65536,131072,2605,262144,524288,524288,41,32768,65536,65536,41,262144,262144,524288,41,64,64,64,41,128,128,128,41,64,256,512,1206,128,512,8192,306,128,512,8192,15588,128,256,8192,1647,64,128,256,81,128,256,4096,756,64,512,512,922,64,256,256,922,64,256,8192,4392,64,256,8192,423,64,256,256,138,0,0,0,0,0,0,0,0,0,0,0,0,1024,2048,2048,100,1024,1024,2048,100,64,64,1024,200,128,128,128,20,128,262144,262144,20,8.69,8.56,0.13,100,0,0,54,0,0,0,262144,524288,524288,524288,524288,100,0,0,0,0,0,0,0,0,0,0,0,0,524288,1048576,1048576,1048576,1048576,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2097152,67108864,67108864,67108864,67108864,64,64,256,256,256,256,154,262144,1048576,1048576,1048576,1048576,154,64,256,256,256,256,100,256,512,512,512,512,54,0,0,6225,2793,8185,0,41,20,0
47713263032500,400,2048,16384,32768,2330,512,8192,8192,319,4096,16384,32768,272,4096,16384,16384,9,0,0,0,0,4096,16384,32768,89,512,8192,16384,297,2048,8192,16384,76,0,0,0,0,128,131072,262144,3469,262144,524288,524288,42,65536,131072,131072,42,262144,262144,524288,42,64,64,64,42,128,128,128,42,64,256,512,1398,128,512,1024,498,128,512,8192,20970,64,256,8192,2448,64,128,256,63,128,512,4096,774,128,512,1024,788,64,256,512,788,64,256,4096,5409,64,256,1024,477,64,256,2048,81,0,0,0,0,0,0,0,0,0,0,0,0,1024,2048,2048,100,1024,1024,2048,100,64,64,1024,200,128,128,128,21,128,262144,262144,21,9.04,8.66,0.38,100,0,0,89,0,0,0,262144,524288,524288,524288,524288,100,0,0,0,0,0,0,0,0,0,0,0,0,524288,1048576,1048576,1048576,2097152,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4194304,16777216,33554432,33554432,33554432,82,128,256,256,256,256,189,262144,1048576,1048576,1048576,2097152,189,128,256,256,256,256,100,256,512,512,512,1024,89,0,0,8103,3653,10173,0,42,21,0
47714291651900,489,2048,16384,32768,3038,512,8192,16384,424,4096,16384,16384,344,8192,16384,16384,34,0,0,0,0,4096,8192,8192,107,512,8192,16384,357,2048,16384,16384,96,0,0,0,0,1024,131072,262144,4485,262144,524288,524288,41,65536,131072,131072,41,262144,262144,262144,41,64,64,64,41,128,128,16384,41,64,256,512,1209,128,512,1024,408,128,512,8192,27342,128,512,4096,3096,64,256,256,153,128,512,8192,1071,128,512,1024,483,64,256,512,483,64,256,4096,7029,64,256,4096,513,64,256,256,75,0,0,0,0,0,0,0,0,0,0,0,0,1024,2048,2048,100,1024,1024,2048,99,64,64,256,199,64,128,128,21,64,262144,262144,21,12.20,8.81,3.40,99,0,0,107,0,0,0,262144,262144,524288,524288,524288,99,0,0,0,0,0,0,0,0,0,0,0,0,524288,1048576,1048576,1048576,1048576,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048576,16777216,16777216,33554432,33554432,106,128,256,256,256,256,206,524288,1048576,1048576,1048576,1048576,206,64,128,256,256,256,99,256,512,512,512,512,107,0,0,9929,4664,12150,0,41,21,0
47715326211000,500,2048,16384,16384,3670,512,8192,8192,522,4096,16384,16384,440,4096,16384,16384,63,0,0,0,0,4096,8192,16384,104,512,8192,8192,335,2048,8192,16384,75,0,0,0,0,2048,131072,131072,5290,262144,524288,524288,41,65536,131072,131072,41,262144,262144,262144,41,64,64,64,41,128,128,128,41,128,256,1024,609,128,512,8192,510,128,512,8192,33030,128,512,4096,3960,64,256,256,216,128,512,4096,1296,128,512,1024,504,64,256,512,504,64,256,512,10395,64,256,4096,540,64,256,256,57,0,0,0,0,0,0,0,0,0,0,0,0,1024,2048,2048,36,512,1024,1024,16,64,64,64,52,64,128,128,20,64,128,128,20,8.55,8.05,0.50,16,0,0,104,0,0,0,262144,262144,262144,262144,262144,16,0,0,0,0,0,0,0,0,0,0,0,0,524288,1048576,1048576,1048576,1048576,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2097152,16777216,16777216,16777216,16777216,86,128,256,256,256,256,120,524288,1048576,1048576,1048576,1048576,120,128,128,128,128,128,16,256,512,512,512,512,104,0,0,11504,5322,12838,0,41,20,0
