timestampNs,users,fRecv_Move_p50,fRecv_Move_p95,fRecv_Move_p99,fRecv_Move_cnt,fRecv_RTT_p50,fRecv_RTT_p95,fRecv_RTT_p99,fRecv_RTT_cnt,fRecv_Swing_p50,fRecv_Swing_p95,fRecv_Swing_p99,fRecv_Swing_cnt,fRecv_Skill_p50,fRecv_Skill_p95,fRecv_Skill_p99,fRecv_Skill_cnt,fRecv_Pickup_p50,fRecv_Pickup_p95,fRecv_Pickup_p99,fRecv_Pickup_cnt,fRecv_UseItem_p50,fRecv_UseItem_p95,fRecv_UseItem_p99,fRecv_UseItem_cnt,fRecv_DelItem_p50,fRecv_DelItem_p95,fRecv_DelItem_p99,fRecv_DelItem_cnt,fRecv_Swap_p50,fRecv_Swap_p95,fRecv_Swap_p99,fRecv_Swap_cnt,fRecv_Respawn_p50,fRecv_Respawn_p95,fRecv_Respawn_p99,fRecv_Respawn_cnt,fRecv_Lock_p50,fRecv_Lock_p95,fRecv_Lock_p99,fRecv_Lock_cnt,fUpd_Whole_p50,fUpd_Whole_p95,fUpd_Whole_p99,fUpd_Whole_cnt,fUpd_User_p50,fUpd_User_p95,fUpd_User_p99,fUpd_User_cnt,fUpd_Monster_p50,fUpd_Monster_p95,fUpd_Monster_p99,fUpd_Monster_cnt,fUpd_Drop_p50,fUpd_Drop_p95,fUpd_Drop_p99,fUpd_Drop_cnt,fUpd_Lock_p50,fUpd_Lock_p95,fUpd_Lock_p99,fUpd_Lock_cnt,bc_CreateChar_p50,bc_CreateChar_p95,bc_CreateChar_p99,bc_CreateChar_cnt,bc_DelChar_p50,bc_DelChar_p95,bc_DelChar_p99,bc_DelChar_cnt,bc_MoveInput_p50,bc_MoveInput_p95,bc_MoveInput_p99,bc_MoveInput_cnt,bc_Swing_p50,bc_Swing_p95,bc_Swing_p99,bc_Swing_cnt,bc_HitResult_p50,bc_HitResult_p95,bc_HitResult_p99,bc_HitResult_cnt,bc_Skill_p50,bc_Skill_p95,bc_Skill_p99,bc_Skill_cnt,bc_CreateMon_p50,bc_CreateMon_p95,bc_CreateMon_p99,bc_CreateMon_cnt,bc_DelMon_p50,bc_DelMon_p95,bc_DelMon_p99,bc_DelMon_cnt,bc_MoveMon_p50,bc_MoveMon_p95,bc_MoveMon_p99,bc_MoveMon_cnt,bc_StopMon_p50,bc_StopMon_p95,bc_StopMon_p99,bc_StopMon_cnt,bc_MonHitPlayer_p50,bc_MonHitPlayer_p95,bc_MonHitPlayer_p99,bc_MonHitPlayer_cnt,bc_CreateDrop_p50,bc_CreateDrop_p95,bc_CreateDrop_p99,bc_CreateDrop_cnt,bc_DelDrop_p50,bc_DelDrop_p95,bc_DelDrop_p99,bc_DelDrop_cnt,bc_Respawn_p50,bc_Respawn_p95,bc_Respawn_p99,bc_Respawn_cnt,aRecv_Login_p50,aRecv_Login_p95,aRecv_Login_p99,aRecv_Login_cnt,aRecv_CharSelect_p50,aRecv_CharSelect_p95,aRecv_CharSelect_p99,aRecv_CharSelect_cnt,aRecv_Lock_p50,aRecv_Lock_p95,aRecv_Lock_p99,aRecv_Lock_cnt,aUpd_Lock_p50,aUpd_Lock_p95,aUpd_Lock_p99,aUpd_Lock_cnt,aUpd_Whole_p50,aUpd_Whole_p95,aUpd_Whole_p99,aUpd_Whole_cnt,cpuTotal,cpuUser,cpuKernel,db_CharSelect,db_InsertItem,db_DelItem,db_ItemCount,db_ItemSlot,db_CharProgress,db_LogOut,db_CharSelect_q_p50,db_CharSelect_q_p95,db_CharSelect_q_p99,db_CharSelect_q_p999,db_CharSelect_q_max,db_CharSelect_q_cnt,db_InsertItem_q_p50,db_InsertItem_q_p95,db_InsertItem_q_p99,db_InsertItem_q_p999,db_InsertItem_q_max,db_InsertItem_q_cnt,db_DelItem_q_p50,db_DelItem_q_p95,db_DelItem_q_p99,db_DelItem_q_p999,db_DelItem_q_max,db_DelItem_q_cnt,db_ItemCount_q_p50,db_ItemCount_q_p95,db_ItemCount_q_p99,db_ItemCount_q_p999,db_ItemCount_q_max,db_ItemCount_q_cnt,db_ItemSlot_q_p50,db_ItemSlot_q_p95,db_ItemSlot_q_p99,db_ItemSlot_q_p999,db_ItemSlot_q_max,db_ItemSlot_q_cnt,db_CharProgress_q_p50,db_CharProgress_q_p95,db_CharProgress_q_p99,db_CharProgress_q_p999,db_CharProgress_q_max,db_CharProgress_q_cnt,db_LogOut_q_p50,db_LogOut_q_p95,db_LogOut_q_p99,db_LogOut_q_p999,db_LogOut_q_max,db_LogOut_q_cnt,dbp_Block_p50,dbp_Block_p95,dbp_Block_p99,dbp_Block_p999,dbp_Block_max,dbp_Block_cnt,dbp_Dequeue_p50,dbp_Dequeue_p95,dbp_Dequeue_p99,dbp_Dequeue_p999,dbp_Dequeue_max,dbp_Dequeue_cnt,dbp_Execute_p50,dbp_Execute_p95,dbp_Execute_p99,dbp_Execute_p999,dbp_Execute_max,dbp_Execute_cnt,dbp_Enqueue_p50,dbp_Enqueue_p95,dbp_Enqueue_p99,dbp_Enqueue_p999,dbp_Enqueue_max,dbp_Enqueue_cnt,dbp_DeleteJob_p50,dbp_DeleteJob_p95,dbp_DeleteJob_p99,dbp_DeleteJob_p999,dbp_DeleteJob_max,dbp_DeleteJob_cnt,dbQueue,storeQueue,sendIOTPS,recvIOTPS,tcpSeg,tcpRetx,fieldFrame,authFrame,syncCount
41772614478200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,262144,262144,41,256,512,1024,41,131072,262144,262144,41,256,256,512,41,256,262144,1048576,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,2048,2048,20,256,512,512,20,7.71,4.20,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,20,0
41773639760100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,262144,262144,41,256,256,256,41,131072,262144,262144,41,64,256,256,41,128,256,256,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,256,256,21,128,256,256,21,8.27,5.17,3.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,41,21,0
41774668998600,100,2048,4096,4096,93,512,512,512,6,2048,4096,4096,11,0,0,0,0,0,0,0,0,65536,65536,65536,6,512,1024,1024,100,1024,2048,2048,7,0,0,0,0,64,131072,262144,227,131072,262144,262144,41,256,8192,16384,41,131072,262144,262144,41,64,256,256,41,128,128,512,41,0,256,256,903,64,128,128,3,128,256,512,837,64,128,256,99,0,0,0,0,128,256,256,36,128,512,1024,162,64,256,2048,162,0,64,128,6813,64,256,512,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,524288,524288,100,1024,65536,131072,100,64,65536,524288,200,128,128,128,20,256,262144,262144,20,8.47,5.56,2.91,100,0,0,6,0,0,0,131072,262144,524288,524288,1048576,100,0,0,0,0,0,0,0,0,0,0,0,0,131072,131072,131072,131072,262144,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,419,1370,0,41,20,0
41775703751200,152,2048,4096,16384,752,512,1024,1024,102,4096,8192,8192,92,0,0,0,0,0,0,0,0,4096,65536,65536,26,512,1024,1024,45,2048,2048,2048,14,0,0,0,0,64,16384,65536,1069,262144,524288,524288,41,16384,32768,65536,41,262144,524288,524288,41,64,128,256,41,128,256,512,41,64,256,256,573,128,512,512,105,128,256,512,6768,64,256,512,828,64,128,128,36,64,256,256,342,128,512,4096,540,64,256,512,540,0,128,256,7101,64,256,512,252,64,256,256,18,0,0,0,0,0,0,0,0,0,0,0,0,1024,2048,262144,82,1024,1024,2048,61,64,64,128,143,64,128,128,21,128,131072,262144,21,8.54,5.40,3.14,61,0,0,26,0,0,0,131072,262144,262144,262144,262144,61,0,0,0,0,0,0,0,0,0,0,0,0,131072,262144,262144,262144,262144,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1669,1198,2692,0,41,21,0
41776739874800,200,2048,4096,16384,1460,512,1024,1024,200,4096,4096,8192,190,0,0,0,0,0,0,0,0,2048,4096,4096,44,512,1024,1024,163,2048,2048,2048,35,0,0,0,0,64,32768,131072,2156,262144,524288,524288,42,65536,65536,65536,42,262144,524288,524288,42,64,128,128,42,128,128,128,42,64,256,512,726,128,512,1024,294,128,256,512,13140,64,256,512,1710,64,256,256,54,64,256,512,576,128,512,1024,795,64,256,512,795,64,256,256,9504,64,256,1024,405,64,256,256,123,0,0,0,0,0,0,0,0,0,0,0,0,1024,2048,2048,18,1024,1024,1024,39,64,64,128,57,64,128,128,21,64,16384,131072,21,8.50,5.87,2.62,39,0,0,44,0,0,0,131072,262144,262144,262144,262144,39,0,0,0,0,0,0,0,0,0,0,0,0,131072,131072,262144,262144,262144,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2947,2182,4422,0,42,21,0
41777774929300,300,2048,4096,16384,2066,512,1024,1024,286,4096,4096,8192,252,0,0,0,0,0,0,0,0,2048,4096,4096,58,512,1024,1024,292,2048,2048,2048,32,0,0,0,0,64,32768,262144,3069,262144,524288,524288,41,65536,65536,131072,41,262144,524288,524288,41,64,128,128,41,128,128,128,41,64,256,512,1211,128,512,1024,311,128,256,512,18594,64,256,512,2268,64,128,128,18,128,256,512,747,128,512,512,1122,64,256,256,1122,64,256,256,9027,64,256,512,540,64,256,256,117,0,0,0,0,0,0,0,0,0,0,0,0,1024,2048,4096,100,1024,1024,2048,100,64,64,128,200,128,128,128,20,128,262144,262144,20,8.43,6.16,2.26,100,0,0,58,0,0,0,131072,262144,262144,262144,524288,100,0,0,0,0,0,0,0,0,0,0,0,0,131072,131072,262144,262144,262144,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4076,3238,6576,0,41,20,0
41778807368100,500,2048,4096,16384,2799,512,1024,1024,374,4096,4096,8192,296,4096,8192,8192,19,0,0,0,0,2048,4096,4096,116,512,1024,1024,495,1024,2048,2048,108,0,0,0,0,64,65536,262144,4318,262144,524288,524288,41,65536,131072,131072,41,262144,262144,524288,41,64,128,128,41,64,128,256,41,64,256,512,2202,128,512,512,402,128,512,512,25191,128,256,512,2664,64,256,256,144,128,256,512,1170,128,512,1024,1074,64,256,512,1074,64,256,512,6426,64,256,512,657,64,256,512,117,0,0,0,0,0,0,0,0,0,0,0,0,1024,2048,2048,200,1024,1024,2048,200,64,128,1024,400,128,128,128,21,128,262144,524288,21,9.15,6.74,2.41,200,0,0,116,0,0,0,131072,262144,262144,262144,262144,200,0,0,0,0,0,0,0,0,0,0,0,0,131072,131072,262144,262144,262144,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5436,4641,9212,0,41,21,0
41779843885700,672,2048,4096,16384,3972,512,1024,1024,554,4096,4096,8192,444,4096,8192,8192,43,0,0,0,0,2048,4096,4096,137,512,1024,1024,547,2048,2048,2048,92,0,0,0,0,64,65536,131072,5899,524288,524288,524288,42,131072,131072,131072,42,262144,524288,524288,42,64,64,128,42,128,128,256,42,64,256,512,2274,128,512,1024,726,128,512,512,35748,64,256,512,3996,64,256,256,192,64,256,512,1377,128,512,1024,705,64,256,512,705,64,256,512,8100,64,256,512,864,64,256,256,111,0,0,0,0,0,0,0,0,0,0,0,0,1024,2048,4096,200,1024,1024,2048,186,64,128,2048,386,64,128,128,21,256,262144,524288,21,9.68,6.41,3.27,186,0,0,137,0,0,0,131072,262144,262144,262144,262144,180,0,0,0,0,0,0,0,0,0,0,0,0,131072,131072,262144,262144,262144,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7591,6227,11645,0,42,21,0
41780879060800,800,2048,4096,16384,5308,512,1024,1024,738,4096,4096,8192,607,4096,8192,8192,84,0,0,0,0,2048,4096,4096,157,512,1024,1024,578,1024,2048,2048,114,0,0,0,0,64,65536,131072,7724,524288,524288,524288,41,131072,262144,262144,41,262144,262144,262144,41,64,128,256,41,128,128,128,41,64,256,512,2151,128,512,512,999,128,512,512,47772,64,256,512,5463,64,256,512,315,128,256,512,1998,256,512,1024,573,128,256,512,573,64,256,512,10008,64,256,512,828,64,256,256,120,0,0,0,0,0,0,0,0,0,0,0,0,1024,2048,2048,111,1024,1024,2048,114,64,64,2048,225,64,128,128,20,128,262144,262144,20,10.48,6.99,3.49,114,0,0,157,0,0,0,262144,262144,262144,524288,524288,120,0,0,0,0,0,0,0,0,0,0,0,0,131072,131072,262144,262144,262144,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9928,7855,14030,0,41,20,0
41781910756000,965,2048,4096,16384,6405,512,1024,1024,895,4096,8192,16384,773,4096,8192,8192,91,0,0,0,0,2048,4096,4096,210,512,1024,1024,719,1024,2048,2048,114,0,0,0,0,64,65536,262144,9387,524288,524288,524288,41,262144,262144,262144,41,262144,524288,524288,41,64,128,256,41,64,128,128,42,64,256,512,2568,128,512,1024,1083,128,512,512,57645,128,512,512,6957,64,256,256,327,128,512,512,2439,256,1024,1024,618,128,512,512,618,64,256,512,13347,128,256,512,846,128,512,512,135,0,0,0,0,0,0,0,0,0,0,0,0,1024,2048,4096,189,1024,2048,2048,179,64,256,131072,368,64,128,128,21,128,262144,262144,21,9.93,6.37,3.57,179,0,0,210,0,0,0,131072,262144,262144,262144,524288,179,0,0,0,0,0,0,0,0,0,0,0,0,131072,131072,131072,262144,262144,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11860,9626,16404,0,41,21,0
